year,usd,jpy,gbp,eur
1800,17,,1.5879,
1801,16.67,,1.776,
1802,14.33,,1.3644,
1803,15,,1.2938,
1804,15,,1.3291,
1805,15,,1.5408,
1806,15.67,,1.482,
1807,14.67,,1.4467,
1808,16,,1.5055,
1809,15.67,,1.6467,
1810,15.67,,1.6937,
1811,16.67,,1.6467,
1812,17,,1.8701,
1813,19.33,,1.9172,
1814,21,,1.6702,
1815,18.33,,1.4938,
1816,17,,1.3644,
1817,16,,1.5526,
1818,15.33,,1.5526,
1819,15.33,,1.5173,
1820,14,,1.3761,
1821,13.33,,1.2115,
1822,13.33,,1.0468,
1823,12,,1.1174,
1824,11,,1.2115,
1825,11.33,,1.4232,
1826,11.33,,1.3409,
1827,11.33,,1.2585,
1828,11,,1.2232,
1829,10.67,,1.2115,
1830,10.67,,1.1644,
1831,10.67,,1.282,
1832,10,,1.188,
1833,9.67,,1.1174,
1834,10,,1.0233,
1835,10.33,,1.0468,
1836,11,,1.1644,
1837,11.33,,1.188,
1838,10.67,,1.1997,
1839,10.67,,1.282,
1840,10,,1.3056,
1841,10.33,,1.282,
1842,9.67,,1.1762,
1843,9.33,,1.0468,
1844,9.33,,1.0468,
1845,9.33,,1.0939,
1846,9,,1.1409,
1847,9.33,,1.282,
1848,8.67,,1.1174,
1849,8.33,,1.0468,
1850,8.33,,0.988,
1851,8.33,,0.9527,
1852,8.33,,0.9527,
1853,8.33,,1.0468,
1854,9,,1.1997,
1855,9.33,,1.235,
1856,9,,1.235,
1857,9.33,,1.1762,
1858,8.67,,1.0703,
1859,9,,1.0586,
1860,9,,1.0939,
1861,9,,1.1174,
1862,10,,1.0939,
1863,12.33,,1.0586,
1864,15.67,,1.0468,
1865,15.33,,1.0586,
1866,14.67,,1.1174,
1867,14,,1.188,
1868,13.33,,1.1762,
1869,13.33,,1.1174,
1870,12.67,,1.1174,
1871,12,,1.1291,
1872,12,,1.1762,
1873,12,,1.2232,
1874,11.33,,1.1762,
1875,11,,1.1527,
1876,10.67,,1.1527,
1877,10.67,,1.1409,
1878,9.67,,1.1174,
1879,9.33,,1.0703,
1880,9.67,,1.1056,
1881,9.67,,1.0939,
1882,9.67,,1.1056,
1883,9.33,,1.0939,
1884,9,,1.0703,
1885,9,,1.035,
1886,9,,1.0233,
1887,9,,1.0115,
1888,9,,1.0233,
1889,9,,1.035,
1890,9,,1.035,
1891,9,,1.0468,
1892,9,,1.0468,
1893,9,,1.035,
1894,8.67,,1.0233,
1895,8.33,,1.0115,
1896,8.33,,0.9998,
1897,8.33,,1.0233,
1898,8.33,,1.0233,
1899,8.33,,1.035,
1900,8.33,,1.0821,
1901,8.33,,1.0821,
1902,8.67,,1.0821,
1903,9,,1.0939,
1904,9,,1.0939,
1905,9,,1.0939,
1906,9,,1.0939,
1907,9.33,,1.1056,
1908,9,,1.1056,
1909,9,,1.1174,
1910,9.33,,1.1291,
1911,9.33,,1.1291,
1912,9.67,,1.1644,
1913,9.9,,1.1527,
1914,10,,1.1527,
1915,10.1,,1.2938,
1916,10.9,,1.529,
1917,12.8,,1.9172,
1918,15.1,,2.3406,
1919,17.3,,2.5759,
1920,20,,2.9758,
1921,17.9,,2.717,
1922,16.8,,2.3406,
1923,17.1,,2.1995,
1924,17.1,,2.1877,
1925,17.5,,2.1877,
1926,17.7,,2.176,
1927,17.4,,2.1171,
1928,17.1,,2.1171,
1929,17.1,,2.0936,
1930,16.7,,2.0348,
1931,15.2,,1.9525,
1932,13.7,,1.9054,
1933,13,,1.8584,
1934,13.4,,1.8584,
1935,13.7,,1.8701,
1936,13.9,,1.8819,
1937,14.4,,1.9525,
1938,14.1,,1.976,
1939,13.9,,2.0348,
1940,14,,2.3759,
1941,14.7,,2.6347,
1942,16.3,,2.8229,
1943,17.3,,2.917,
1944,17.6,,2.9993,
1945,18,,3.0816,
1946,19.5,,3.1757,
1947,22.3,5.23,3.3992,
1948,24.1,9.58,3.658,
1949,23.8,12.64,3.7638,
1950,24.1,11.75,3.8814,
1951,26,13.82,4.2343,
1952,26.5,14.61,4.6224,
1953,26.7,15.5,4.7636,
1954,26.9,16.49,4.8577,
1955,26.8,16.39,5.0694,
1956,27.2,16.39,5.3281,
1957,28.1,16.88,5.5163,
1958,28.9,16.88,5.6928,
1959,29.1,16.98,5.7163,
1960,29.6,17.67,5.7751,
1961,29.9,18.56,5.9751,
1962,30.2,19.84,6.2338,
1963,30.6,21.32,6.3514,
1964,31,22.21,6.5631,
1965,31.5,23.59,6.869,
1966,32.4,24.88,7.1395,
1967,33.4,25.77,7.3277,
1968,34.8,27.15,7.6688,
1969,36.7,28.73,8.0804,
1970,38.8,30.9,8.598,
1971,40.5,32.9,9.4095,
1972,41.8,34.5,10.08,
1973,44.4,38.6,10.9974,
1974,49.3,47.5,12.7617,
1975,53.8,53.1,15.8551,
1976,56.9,58.1,18.478,
1977,60.6,62.8,21.4067,
1978,65.2,65.5,23.1827,
1979,72.6,67.9,26.2879,
1980,82.4,73.2,31.0162,
1981,90.9,76.7,34.6977,
1982,96.5,78.9,37.6852,
1983,99.6,80.3,39.4142,
1984,103.9,82.2,41.3784,
1985,107.6,83.8,43.8955,
1986,109.6,84.3,45.3892,
1987,113.6,84.4,47.2829,
1988,118.3,85,49.6,
1989,124,86.9,52.2,
1990,130.7,89.6,55.9,
1991,136.2,92.6,60.1,
1992,140.3,94.1,62.6,
1993,144.5,95.4,64.2,
1994,148.2,96,65.5,
1995,152.4,95.9,67.2,
1996,156.9,96,68.8,70.26
1997,160.5,97.7,70.1,71.48
1998,163,98.3,71.2,72.4
1999,166.6,98,72.1,73.26
2000,172.2,97.3,72.7,74.65
2001,177.1,96.7,73.6,76.29
2002,179.9,95.8,74.5,77.87
2003,184,95.5,75.5,79.4
2004,188.9,95.5,76.5,81
2005,195.3,95.2,78.1,82.75
2006,201.6,95.5,79.9,84.58
2007,207.342,95.5,81.8,86.55
